activity_id,project_id,equipment_id,equipment_type,system_type,activity_type,complexity,complexity_score,planned_start_date,planned_end_date,planned_duration_days,actual_start_date,actual_end_date,status,is_delayed,delay_days,num_dependencies,contractor,contractor_performance_score,resource_availability,document_completeness_pct,weather_sensitive,prior_similar_experience,num_issues_encountered,num_change_orders,budget_variance_pct
PRJ-001-ACT-0001,PRJ-001,Air-Handler-001,Air Handler,Plumbing,Performance Testing,Low,1,2023-06-12,2023-06-23,11,,,In Progress - At Risk,True,10,0,Siemens,0.89,Partial,0.7,False,False,6,1,0.146
PRJ-001-ACT-0002,PRJ-001,Pump-002,Pump,Fire Protection,Performance Testing,High,3,2023-10-23,2023-10-24,1,2023-10-24,2023-11-08,Completed - Delayed,True,15,0,Siemens,0.71,Partial,0.87,False,False,2,0,0.014
PRJ-001-ACT-0003,PRJ-001,Fire-Alarm-Panel-003,Fire Alarm Panel,BMS,Startup,Medium,2,2023-04-16,2023-04-30,14,2023-04-21,2023-05-08,Completed - Delayed,True,8,0,Siemens,0.87,Full,0.88,False,True,1,3,0.066
PRJ-001-ACT-0004,PRJ-001,Fire-Alarm-Panel-004,Fire Alarm Panel,BMS,Installation,Critical,4,2023-09-23,2023-10-05,12,,,In Progress - On Track,False,0,0,Siemens,0.8,Full,0.49,False,True,2,1,-0.042
PRJ-001-ACT-0005,PRJ-001,Cooling-Tower-005,Cooling Tower,HVAC,Functional Testing,Critical,4,2023-04-27,2023-05-10,13,2023-05-01,2023-05-27,Completed - Delayed,True,17,0,Siemens,1.0,Limited,0.59,True,False,8,3,0.259
PRJ-001-ACT-0006,PRJ-001,BMS-Controller-006,BMS Controller,Fire Protection,Functional Testing,Medium,2,2023-05-29,2023-06-11,13,,,In Progress - On Track,False,0,0,Siemens,0.94,Partial,0.86,False,False,1,0,-0.009
PRJ-001-ACT-0007,PRJ-001,Fan-007,Fan,BMS,Equipment Delivery,Medium,2,2023-04-28,2023-05-01,3,2023-04-29,2023-05-03,Completed - On Time,False,0,0,Siemens,0.75,Full,0.82,False,True,0,0,0.075
PRJ-001-ACT-0008,PRJ-001,Electrical-Switchgear-008,Electrical Switchgear,BMS,Documentation Review,Critical,4,2023-03-29,2023-04-12,14,2023-03-31,2023-04-14,Completed - On Time,False,0,0,Siemens,0.79,Partial,0.58,False,False,2,0,0.023
PRJ-001-ACT-0009,PRJ-001,Pump-009,Pump,Fire Protection,Functional Testing,High,3,2023-03-31,2023-04-07,7,2023-03-30,2023-04-08,Completed - On Time,False,0,0,Siemens,0.87,Partial,0.83,False,False,2,0,-0.037
PRJ-001-ACT-0010,PRJ-001,Electrical-Switchgear-010,Electrical Switchgear,Electrical,Functional Testing,High,3,2023-05-09,2023-05-10,1,2023-05-11,2023-05-10,Completed - On Time,False,0,0,Siemens,0.75,Full,0.67,False,False,1,1,0.075
PRJ-001-ACT-0011,PRJ-001,Generator-011,Generator,HVAC,Documentation Review,High,3,2023-08-09,2023-08-10,1,2023-08-07,2023-08-17,Completed - Delayed,True,7,0,Siemens,0.63,Limited,0.42,False,True,3,1,0.089
PRJ-001-ACT-0012,PRJ-001,Air-Handler-012,Air Handler,BMS,Installation,High,3,2023-07-21,2023-08-02,12,,,In Progress - At Risk,True,6,2,Siemens,0.67,Limited,0.98,False,True,0,2,0.13
PRJ-001-ACT-0013,PRJ-001,Electrical-Switchgear-013,Electrical Switchgear,Fire Protection,Documentation Review,Medium,2,2023-05-13,2023-05-15,2,2023-05-12,2023-05-15,Completed - On Time,False,0,0,Siemens,0.88,Partial,0.91,False,True,2,1,-0.04
PRJ-001-ACT-0014,PRJ-001,Fire-Alarm-Panel-014,Fire Alarm Panel,Plumbing,Equipment Delivery,Critical,4,2023-10-27,2023-11-03,7,2023-10-29,2023-11-02,Completed - On Time,False,0,0,Siemens,0.77,Partial,0.78,False,False,2,1,0.042
PRJ-001-ACT-0015,PRJ-001,UPS-015,UPS,Fire Protection,Functional Testing,High,3,2023-07-13,2023-07-27,14,2023-07-17,2023-08-11,Completed - Delayed,True,15,2,Siemens,0.94,Full,0.57,False,False,7,2,-0.027
PRJ-001-ACT-0016,PRJ-001,Cooling-Tower-016,Cooling Tower,Plumbing,Startup,High,3,2023-06-19,2023-06-24,5,2023-06-24,2023-07-02,Completed - Delayed,True,8,4,Siemens,0.98,Full,0.54,False,False,7,3,0.217
PRJ-001-ACT-0017,PRJ-001,Air-Handler-017,Air Handler,Plumbing,Installation,Medium,2,2023-07-05,2023-07-17,12,2023-07-08,2023-08-04,Completed - Delayed,True,18,2,Siemens,0.87,Partial,0.68,False,False,7,2,0.023
PRJ-001-ACT-0018,PRJ-001,Cooling-Tower-018,Cooling Tower,HVAC,Documentation Review,Low,1,2023-05-12,2023-05-18,6,2023-05-14,2023-06-06,Completed - Delayed,True,19,5,Siemens,0.9,Full,0.51,True,False,3,2,-0.009
PRJ-001-ACT-0019,PRJ-001,Boiler-019,Boiler,Plumbing,Equipment Delivery,Medium,2,2023-09-21,2023-09-30,9,2023-09-23,2023-09-28,Completed - On Time,False,0,2,Siemens,0.62,Full,0.73,False,True,2,1,0.02
PRJ-001-ACT-0020,PRJ-001,Generator-020,Generator,Plumbing,Installation,Critical,4,2023-04-06,2023-04-11,5,,,In Progress - At Risk,True,19,0,Siemens,0.76,Full,0.75,True,True,3,0,0.123
PRJ-001-ACT-0021,PRJ-001,Electrical-Switchgear-021,Electrical Switchgear,BMS,Performance Testing,Medium,2,2023-10-12,2023-10-22,10,2023-10-10,2023-11-11,Completed - Delayed,True,20,4,Siemens,0.75,Partial,0.58,False,False,1,1,0.15
